date,description,amount,category
2024-04-01,Kroger,-79.88,Groceries
2024-04-02,Netflix,-15.99,Subscriptions
2024-04-03,Shell Gas Station,-61.00,Gas
2024-04-04,Chipotle,-15.25,Dining
2024-04-05,Amazon,-38.49,Shopping
2024-04-06,Spotify,-9.99,Subscriptions
2024-04-07,Walgreens,-19.60,Health
2024-04-08,Chipotle,-13.00,Dining
2024-04-09,AT&T,-85.00,Utilities
2024-04-10,Kroger,-96.44,Groceries
2024-04-11,Uber,-17.25,Transportation
2024-04-12,Starbucks,-8.50,Dining
2024-04-13,Amazon,-24.99,Shopping
2024-04-14,Shell Gas Station,-57.30,Gas
2024-04-15,Direct Deposit,3200.00,Income
2024-04-16,Publix,-55.10,Groceries
2024-04-17,Hulu,-17.99,Subscriptions
2024-04-18,Texas Roadhouse,-74.50,Dining
2024-04-19,CVS,-22.30,Health
2024-04-20,Lyft,-14.60,Transportation
2024-04-21,Whole Foods,-98.77,Groceries
2024-04-22,Apple iCloud,-2.99,Subscriptions
2024-04-23,Starbucks,-6.95,Dining
2024-04-24,Amazon,-45.00,Shopping
2024-04-25,Nashville Electric,-115.00,Utilities
2024-04-26,Shell Gas Station,-52.80,Gas
2024-04-27,Kroger,-71.22,Groceries
2024-04-28,Venmo Transfer,-30.00,Transfer
2024-04-29,Chipotle,-11.50,Dining
2024-04-30,Amazon,-33.99,Shopping
2024-05-01,Walgreens,-14.75,Health
2024-05-02,Kroger,-87.33,Groceries
2024-05-03,Netflix,-15.99,Subscriptions
2024-05-04,Shell Gas Station,-59.20,Gas
2024-05-05,Chipotle,-16.00,Dining
2024-05-06,Amazon,-52.49,Shopping
2024-05-07,Spotify,-9.99,Subscriptions
2024-05-08,Walgreens,-28.90,Health
2024-05-09,AT&T,-85.00,Utilities
2024-05-10,Kroger,-102.15,Groceries
2024-05-11,Uber,-23.50,Transportation
2024-05-12,Starbucks,-9.25,Dining
2024-05-13,Amazon,-19.99,Shopping
2024-05-14,Shell Gas Station,-54.60,Gas
2024-05-15,Direct Deposit,3400.00,Income
2024-05-16,Publix,-63.88,Groceries
2024-05-17,Hulu,-17.99,Subscriptions
2024-05-18,Cheesecake Factory,-89.20,Dining
2024-05-19,CVS,-11.99,Health
2024-05-20,Lyft,-20.10,Transportation
2024-05-21,Whole Foods,-115.44,Groceries
2024-05-22,Apple iCloud,-2.99,Subscriptions
2024-05-23,Starbucks,-8.75,Dining
2024-05-24,Amazon,-67.00,Shopping
2024-05-25,Nashville Electric,-121.00,Utilities
2024-05-26,Shell Gas Station,-56.40,Gas
2024-05-27,Kroger,-80.11,Groceries
2024-05-28,Venmo Transfer,-60.00,Transfer
2024-05-29,Chipotle,-14.75,Dining
2024-05-30,Amazon,-28.49,Shopping
2024-05-31,Walgreens,-22.00,Health
2024-06-01,Kroger,-91.60,Groceries
2024-06-02,Netflix,-15.99,Subscriptions
2024-06-03,Shell Gas Station,-63.80,Gas
2024-06-04,Chipotle,-17.50,Dining
2024-06-05,Amazon,-44.99,Shopping
2024-06-06,Spotify,-9.99,Subscriptions
2024-06-07,Walgreens,-16.40,Health
2024-06-08,Chipotle,-13.75,Dining
2024-06-09,AT&T,-85.00,Utilities
2024-06-10,Kroger,-88.25,Groceries
2024-06-11,Uber,-19.80,Transportation
2024-06-12,Starbucks,-10.50,Dining
2024-06-13,Amazon,-36.99,Shopping
2024-06-14,Shell Gas Station,-60.10,Gas
2024-06-15,Direct Deposit,3400.00,Income
2024-06-16,Publix,-70.22,Groceries
2024-06-17,Hulu,-17.99,Subscriptions
2024-06-18,Texas Roadhouse,-95.00,Dining
2024-06-19,CVS,-25.50,Health
2024-06-20,Lyft,-17.30,Transportation
2024-06-21,Whole Foods,-122.88,Groceries
2024-06-22,Apple iCloud,-2.99,Subscriptions
2024-06-23,Starbucks,-9.00,Dining
2024-06-24,Amazon,-79.99,Shopping
2024-06-25,Nashville Electric,-130.00,Utilities
2024-06-26,Shell Gas Station,-58.90,Gas
2024-06-27,Kroger,-76.44,Groceries
2024-06-28,Venmo Transfer,-50.00,Transfer
2024-06-29,Chipotle,-15.25,Dining
2024-06-30,Amazon,-41.00,Shopping
